BUSCO_ID	Occurrences
87842at2759	442
100698at2759	442
179362at2759	442
245208at2759	442
296129at2759	442
324863at2759	442
768809at2759	442
777920at2759	442
834694at2759	442
917326at2759	442
1003258at2759	442
1115196at2759	442
1233814at2759	442
1236198at2759	442
1259741at2759	442
1260807at2759	442
1264469at2759	442
1275837at2759	442
1287401at2759	442
1314980at2759	442
1322642at2759	442
1355894at2759	442
1423847at2759	442
97116at2759	441
156083at2759	441
290630at2759	441
306227at2759	441
345441at2759	441
664730at2759	441
734666at2759	441
975557at2759	441
1018517at2759	441
1096688at2759	441
1106766at2759	441
1193442at2759	441
1222562at2759	441
1248958at2759	441
1338131at2759	441
1346165at2759	441
1479417at2759	441
1488436at2759	441
1538526at2759	441
320059at2759	440
491869at2759	440
549762at2759	440
721605at2759	440
736068at2759	440
836599at2759	440
858842at2759	440
887370at2759	440
911863at2759	440
944899at2759	440
1051021at2759	440
1057950at2759	440
1217666at2759	440
1220881at2759	440
1223488at2759	440
1228942at2759	440
1266231at2759	440
1269649at2759	440
1346432at2759	440
1421503at2759	440
1459797at2759	440
1490022at2759	440
1504863at2759	440
1545004at2759	440
1558822at2759	440
39650at2759	439
355408at2759	439
383503at2759	439
396755at2759	439
426305at2759	439
570797at2759	439
604979at2759	439
719531at2759	439
720340at2759	439
751335at2759	439
817008at2759	439
878143at2759	439
924753at2759	439
937686at2759	439
976469at2759	439
1032689at2759	439
1079827at2759	439
1138059at2759	439
1157302at2759	439
1194797at2759	439
1322299at2759	439
1323575at2759	439
1342242at2759	439
1379600at2759	439
1430056at2759	439
1432328at2759	439
1454155at2759	439
1455730at2759	439
1488235at2759	439
142542at2759	438
176625at2759	438
271586at2759	438
293315at2759	438
369837at2759	438
621827at2759	438
625387at2759	438
673132at2759	438
679187at2759	438
708105at2759	438
759498at2759	438
761109at2759	438
774318at2759	438
814241at2759	438
931188at2759	438
1010730at2759	438
1079130at2759	438
1085752at2759	438
1107630at2759	438
1112002at2759	438
1128607at2759	438
1178688at2759	438
1182451at2759	438
1197019at2759	438
1251252at2759	438
1258856at2759	438
1269244at2759	438
1304061at2759	438
1339553at2759	438
1382842at2759	438
1404162at2759	438
1405146at2759	438
1428854at2759	438
1441854at2759	438
1530008at2759	438
1552706at2759	438
1645187at2759	438
83779at2759	437
257318at2759	437
261328at2759	437
331411at2759	437
341721at2759	437
375960at2759	437
390348at2759	437
418107at2759	437
453044at2759	437
582756at2759	437
855834at2759	437
869548at2759	437
905026at2759	437
918816at2759	437
919955at2759	437
981902at2759	437
1019762at2759	437
1076134at2759	437
1108845at2759	437
1287094at2759	437
1474000at2759	437
1513531at2759	437
1588798at2759	437
299766at2759	436
388820at2759	436
551907at2759	436
655400at2759	436
687505at2759	436
692986at2759	436
722805at2759	436
734341at2759	436
891751at2759	436
946128at2759	436
973442at2759	436
975158at2759	436
1001705at2759	436
1014314at2759	436
1194691at2759	436
1257440at2759	436
1284731at2759	436
1358374at2759	436
1434266at2759	436
1617752at2759	436
1623701at2759	436
261419at2759	435
330169at2759	435
513979at2759	435
671536at2759	435
679771at2759	435
844748at2759	435
956854at2759	435
1025450at2759	435
1030907at2759	435
1129824at2759	435
1247641at2759	435
1312453at2759	435
1370285at2759	435
1377237at2759	435
1450538at2759	435
1526152at2759	435
1593937at2759	435
392369at2759	434
598949at2759	434
674160at2759	434
865202at2759	434
898782at2759	434
901894at2759	434
937275at2759	434
1041560at2759	434
1065019at2759	434
1090038at2759	434
1111142at2759	434
1173229at2759	434
1200489at2759	434
1426075at2759	434
1576404at2759	434
160593at2759	433
674169at2759	433
779909at2759	433
996662at2759	433
1038775at2759	433
1049599at2759	433
1364586at2759	433
1380409at2759	433
1398309at2759	433
1626636at2759	433
450058at2759	432
457861at2759	432
464990at2759	432
1249159at2759	432
1324510at2759	432
1395649at2759	432
1525971at2759	432
671846at2759	431
866359at2759	431
1370304at2759	431
1567796at2759	431
1620056at2759	431
270107at2759	430
801857at2759	430
923657at2759	430
1161199at2759	430
166920at2759	429
325552at2759	429
543764at2759	429
1445102at2759	429
974865at2759	428
1348942at2759	428
1053181at2759	427
1291729at2759	427
1442062at2759	427
1440961at2759	426
1087488at2759	425
1309031at2759	425
1633672at2759	425
939345at2759	424
1428265at2759	424
1405073at2759	422
1575179at2759	421
1563319at2759	420
1407446at2759	417
1094121at2759	411
